Parking Lots;GPS Lon;GPS Lat
Altmarkt;13.7417891;51.05067008
Altmarkt - Galerie;13.73787803;51.04676432
Ammonstraße Bus;13.726399;51.043879
An der Frauenkirche;13.74419347;51.05141507
Blüherstraße;13.748424;51.044186
Grenzstraße;13.776393;51.12798
Budapester Straße;13.730277;51.046519
Centrum - Galerie;13.73394691;51.04537162
Cossebaude;13.632377;51.0852
MESSE DRESDEN Parkplatz P7;13.71950558;51.06746291
Ferdinandplatz;13.73963711;51.04588257
Fidelio-F.-Finke-Straße;13.814272;51.052679
Frauenkirche / Neumarkt;13.7308651;51.05900197
Freiberger Platz;13.726416;51.049445
GALERIA Karstadt Kaufhof;13.73804453;51.04676432
Gompitz;13.631794;51.039284
Haus am Zwinger;13.7357789;51.05141429
Kaditz;13.69100924;51.08130555
Klotzsche;13.789227;51.115823
Kongresszentrum;13.73118775;51.04197071
Langebrück;13.840873;51.127132
Lindengasse;13.74175223;51.04150058
Lingnerallee;13.749541;51.044222
Neustadt train station;13.742307;51.065692
Ostra-Ding;13.730889;51.053948
Ostra-Ufer;13.728648;51.060423
Palaisplatz;13.739197;51.06031
Parkhaus Mitte;13.72611015;51.05814122
Pennrich;13.626586;51.0406
Pieschener Allee Bus;13.728977;51.061748
Pirnaischer Platz;13.74356808;51.0481722
Pirnaische Straße;13.749013;51.046141
Power Plant Mitte;13.718351;51.052819
Prohlis;13.79944738;50.99940802
Reick;13.790173;51.021124
Reitbahnstrasse;13.73342566;51.04356811
SachsenEnergie Center;13.73085214;51.03859607
Sarrasanistraße;13.74502398;51.05762661
Schießgasse;13.74450534;51.0504296
Semperoper;13.73395773;51.05543977
SP1 Straßburger Platz;13.756661;51.046848
Stadtforum Dresden;13.739645;51.046649
Strehlener Straße;13.747033;51.034874
Taschenbergpalais;13.73534138;51.05176913
Theresienstraße;13.74202109;51.0631677
Weixdorf Bath;13.801895;51.140244
White;13.885969;51.061429
Wiener Platz / Hauptbahnhof;13.731322;51.041955
Wiesentorstraße;13.74290934;51.05670496
Wigardstraße;13.7507;51.057617
Wöhrl / Florentinum;13.73796299;51.04451611
World Trade Center;13.72171564;51.04937362
